,text,explanation,origin
0,A bird in the hand is worth two in the bush,"The proverb 'A bird in the hand is worth two in the bush' means  that it's
          better to hold onto something you  have rather than take the risk of getting something better  which may come to nothing.",English
1,A bunch of fives,"'A bunch of fives' is a slang term for
          a fist, especially one used for punching. The
          fives are the four fingers and the thumb.",English
2,A chain is only as strong as its weakest link,"The proverb 'A chain is only as strong as its weakest link' has a literal meaning, although the 'weakest link' referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain.",English
3,A change is as good as a rest,"A  change is as good as a rest is a proverb that expresses, in a fairly straightforward literal way, the notion that a change from one's regular occupation is as restorative as a holiday.",English
4,A countenance more in sorrow than in anger,Literal meaning - a person or thing that displays more  sadness than  anger.,English
5,A Daniel come to judgement,Someone who makes a wise judgement about something that has previously proven difficult to resolve.,English
6,A diamond in the rough,Someone who is basically good hearted but lacking social graces and respect for the law.,English
7,A diamond is forever,"Advertising
slogan for De Beers' diamonds.",English
8,A different kettle of fish,'A different kettle of fish' is an alternative to what has been previously considered; a different thing altogether.,English
9,A dish fit for the gods,An offering of high quality. ,English
10,A dog is a man's best friend,"An animal that performs valuable service to humans, often with reference to dogs. ",English
11,A drop in the bucket,A drop in the bucket is a very small and insignificant proportion of the whole.,English
12,A drop in the ocean,A drop in the bucket is a very small and insignificant proportion of the whole.,English
13,A fate worse than death,"Any misfortune that would make life unlivable, especially rape
 or loss of virginity. The phrase was formerly a euphemism for rape. ",English
14,A feather in one's cap,A symbol of honour and achievement.,English
15,A fish rots from the head down ,"When an organization or state fails, it is the leadership that is the root cause.",English
16,A fish out of water,"Someone who is in a situation they are unsuited to.
",English
17,A fly in the ointment,A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,English
18,A fool and his money are soon parted,Literal meaning.,English
19,A fool's paradise,A state of happiness based on false hope.,English
20,A foot in the door,"An introduction or way in to something, made in order that progress may be made later. ",English
21,A foregone conclusion,A decision made before the evidence for it is known. An inevitable conclusion. ,English
22,A friend in need is a friend indeed,There are various interpretations of the meaning of 'a friend in need is a friend indeed'.,English
23,A golden key can open any door,"'A golden key opens any door' is the opinion that sufficient money, or the promise of it, will allow the possessor of it to do anything they wish.",English
24,A good man is hard to find,"A modern-day proverb, bemoaning the difficulty of finding a suitable male partner. ",English
25,A hard man is good to find,"A risquÃ© comic play
on words on a good man is hard to find.",English
26,A hiding to nothing - On ,"To be faced with a situation which is pointless, as a successful outcome is impossible. This is usually expressed in terms of a sporting contest in which one of two outcomes is foreseen, either a hiding or nothing. The 'to' in the phrase indicates alternative outcomes, as in terms like '6 to 1' or 'dollars to doughnuts'. ",English
27,"A horse, a horse, my kingdom for a horse","'A horse, a horse, my kingdom for a horse' is one of Shakespeare's best known lines. The king spoke the line in Act V of the play Richard III, after losing his horse in battle. ",English
28,A house divided against itself cannot stand,Literal meaning (house meaning household).,English
29,A journey of a thousand miles begins with a single step,"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",English
30,A knight in shining armour,"A knight in shining armour is a person, usually a man, who comes to the aid of another, usually a woman, in a gallant and courteous manner. ",English
31,À la carte,"'A la carte' means 'on the menu', with each dish separately priced.",English
32,À la mode,"Fashionable. Also, in the USA, a dessert served with ice cream.",English
33,A legend in one's own lifetime,'A legend in their own lifetime' refers to  a living person of considerable fame. ,English
34,A leopard cannot change its spots,"The
          proverbial saying 'A leopard cannot change its spots' expresses the notion that things cannot change their innate nature. It is normally used to suggest that  people who have done bad things will always be bad people.",English
35,A little bird told me,I was told by a private or secret source. ,English
36,A little knowledge is a dangerous thing,"The proverb 'A little knowledge is a dangerous thing' expresses the idea that a small amount of knowledge can mislead people into thinking that they are more expert than they really are, which can lead to mistakes being made.",English
37,A little of what you fancy does you good,A euphemistic way of expressing the benefits of sex. ,English
38,A load of cobblers,"Nonsense, rubbish. ",English
39,A load of codswallop,Nonsense. ,English
40,A man after my own heart,"A
kindred spirit - someone I can agree with.",English
41,A man who is his own lawyer has a fool for a client,Literal meaning.,English
42,A millstone around one's neck,A heavy and inescapable burden or responsibility.,English
43,A ministering angel shall my sister be,"To minister is to serve, or act as a subordinate agent. So a ministering angel is a kind-hearted person, providing help and comfort.",English
44,A miss is as good as a mile,A narrow miss is as bad as a wide miss - they are both misses. ,English
45,A nation of shopkeepers,"This proverbial saying has a straightforward literal meaning, although it is intended to imply criticism of the English as a nation with little ambition.",English
46,A nest of vipers,"A group of iniquitous people, congregating together.",English
47,A no-brainer,Something that requires little mental effort or intelligence to perform or understand. The term is often applied to decisions which are straightorward or sometimes to people who appear to lack intelligence. ,English
48,A nod is as good as a wink,"'A nod is as good as a wink' expresses the idea that, to a person who is ready to understand or undertake something, any subtle signalling of it is sufficient. The context is usually of some undertaking that is borderline illegal or of sexual innuendo. ",English
49,A norange,"In 1914 the Danish grammarian Otto Jespersen coined the term 'metanalysis'. That's rather a dry start to a piece on what is a lively and intriguing facet of the English language. To find out what prompted Jespersen to believe that we needed a new word, let's bring in a stage prop - the humble orange. ",English
50,A penny for your thoughts,An invitation to a person lost in thought to share his or her preoccupation.,English
51,A picture is worth a thousand words,"A picture tells a story just as well as, if not better than, a lot of written words.",English
52,A piece of the action,"A share in an activity, or in its profits. ",English
53,A pig in a poke,"A pig in a poke is an
              offer or deal that is foolishly accepted without being examined first.",English
54,A place for everything and everything in its place,The proverbial notion that there should be 'a place for everything and everything in its place' is the idea that everything should have somewhere to be stored  and that it should be tidily returned there when not in use. ,English
55,A plague on both your houses,"A frustrated
 curse on both sides of an argument.",English
56,A priori,From the previous. ,English
57,A red rag to a bull,"To wave a red rag to a bull is to  deliberately provoke it. More generally, the expression denotes any deliberate action intended to bring about an adverse reaction. ",English
