,text,explanation,origin
0,"Hola, ¿cómo estás?","This phrase is a common greeting in Spanish, asking someone how they are.",Spanish
1,"¿Cómo se dice... en español?","This means 'How do you say... in Spanish?' and is used to ask for the translation of a word or phrase.",Spanish
2,"¡Hola! ¿Cómo va todo?","This is an informal greeting meaning 'Hi! How is everything going?'",Spanish
3,"¡Cuánto tiempo sin verte!","This phrase means 'Long time no see!' and is used to greet someone you haven't seen in a while.",Spanish
4,"Estoy muy bien, gracias.","This means 'I am very well, thank you.' and is a polite response to how someone is doing.",Spanish
5,"Como siempre, no ha pasado mucho.","This means 'As always, not much has happened.' and is often used in casual conversation.",Spanish
6,"Buenas tardes, ¿Cómo ha estado?","This translates to 'Good afternoon, how have you been?' and is a polite greeting.",Spanish
7,"Es un gusto conocerte.","This means 'It's a pleasure to meet you.' and is a common phrase when meeting someone for the first time.",Spanish
8,"Bienvenidos a mi casa, les presento a mi familia.","This translates to 'Welcome to my home, I present to you my family.'",Spanish
9,"Mucho gusto, mi nombre es (nombre) y soy amiga de (nombre de amigo).","This means 'Nice to meet you, my name is (name) and I am a friend of (friend's name).'",Spanish
10,"Creo que es hora de que me vaya.","This means 'I think it's time for me to go.' and is used when leaving a gathering.",Spanish
11,"Necesito irme, ya es tarde.","This translates to 'I need to leave, it's late.' and is a polite way to announce your departure.",Spanish
12,"Cuídate mucho, ¡Hasta la próxima!","This means 'Take care, see you next time!' and is a friendly farewell.",Spanish
13,"¡Qué tengas un lindo día!","This translates to 'Have a nice day!' and is a positive wish for someone.",Spanish
14,"Disculpe, me podría decir la hora.","This means 'Excuse me, could you tell me the time?' and is used to ask for the current time.",Spanish
15,"Pueblo que olvida su historia está condenado a repetirla","This means that a community that forgets its history is doomed to repeat its mistakes.",Spanish
16,"Je suis désolé","This means 'I am sorry' and is used to express regret or apology.",French
17,"Je ne comprends pas","This translates to 'I do not understand' and is used when you need clarification.",French
18,"Non, pas du tout","This means 'No, not at all' and is used to express strong disagreement.",French
19,"Où sommes-nous?","This translates to 'Where are we?' and is used when asking about your current location.",French
20,"Pourriez-vous m'aider?","This means 'Could you help me?' and is a polite request for assistance.",French
21,"Je cherche cette adresse","This translates to 'I am looking for this address.'",French
22,"J'ai besoin d'une chambre double","This means 'I need a double room.' and is used when booking accommodation.",French
23,"Je voudrais annuler ma réservation","This translates to 'I would like to cancel my reservation.'",French
24,"Je cherche des chaussures","This means 'I am looking for shoes.' and is used when shopping.",French
25,"C'est combien?","This translates to 'How much is it?' and is used to ask for the price of something.",French
26,"C'est trop cher!","This means 'It's too expensive!' and is used to express that something costs too much.",French
27,"Répétez s'il vous plaît","This translates to 'Please repeat.' and is used when you need someone to say something again.",French
28,"Comment vas-tu/comment tu vas","This means 'How are you?' and is a common greeting.",French
29,"Ça va/je vais bien","This translates to 'I'm fine/I'm doing well.' and is a common response to 'How are you?'.",French
30,"Comment va ton père ? Ton père va bien ?","This means 'How is your father? Is your father doing well?' and is used to inquire about someone's family.",French
29,"Un malheur ne vient jamais seul","Cette expression suggère que les problèmes ont tendance à s'accumuler.",French
30,"Le temps, c'est de l'argent","Cela signifie que le temps perdu peut être considéré comme une perte financière.",French
31,"Qui ne tente rien n'a rien","Cette expression souligne l'importance de prendre des risques pour obtenir des résultats.",French
32,"Could you please speak more slowly?","This phrase is a polite request for someone to speak at a slower pace for better understanding.",English
33,"Can I have the bill, please?","This is a polite way to ask for the bill in a restaurant or café.",English
34,"I'm lost. Can you help me find my way?","This is a request for assistance when you are unsure of your location.",English
35,"That's a great idea!","This phrase expresses enthusiasm and approval for a suggestion or plan.",English
36,"Could you please pass me the salt?","This is a polite request for someone to hand you the salt shaker.",English
37,"Could you elaborate on that?","This asks someone to provide more details or explanation about a point they made.",English
38,"I'm afraid I can't make it.","This is a polite way to say that you will not be able to attend an event or meeting.",English
